------------------------------------------------------------------------------------------
-----------------------------Welcome to the ProcessInfo automation script-----------------------------------
------------------------------------------------------------------------------------------

{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'vms': 0.0390625}
{'pid': 188, 'username': None, 'name': '', 'vms': 0.171875}
{'pid': 232, 'username': None, 'name': 'Registry', 'vms': 28.12109375}
{'pid': 800, 'username': None, 'name': 'smss.exe', 'vms': 1.140625}
{'pid': 960, 'username': 'BHAVESH\\ahire', 'name': 'RuntimeBroker.exe', 'vms': 1.8828125}
{'pid': 964, 'username': None, 'name': 'svchost.exe', 'vms': 1.90234375}
{'pid': 968, 'username': 'BHAVESH\\ahire', 'name': 'cmd.exe', 'vms': 1.8828125}
{'pid': 1232, 'username': 'BHAVESH\\ahire', 'name': 'conhost.exe', 'vms': 1.703125}
{'pid': 1364, 'username': None, 'name': 'csrss.exe', 'vms': 2.43359375}
{'pid': 1452, 'username': None, 'name': 'wininit.exe', 'vms': 1.44921875}
{'pid': 1460, 'username': None, 'name': 'csrss.exe', 'vms': 2.94140625}
{'pid': 1520, 'username': None, 'name': 'winlogon.exe', 'vms': 2.7109375}
{'pid': 1572, 'username': 'BHAVESH\\ahire', 'name': 'powershell.exe', 'vms': 69.0625}
{'pid': 1596, 'username': None, 'name': 'services.exe', 'vms': 5.69921875}
{'pid': 1604, 'username': None, 'name': 'LsaIso.exe', 'vms': 1.26953125}
{'pid': 1624, 'username': None, 'name': 'lsass.exe', 'vms': 12.55078125}
{'pid': 1636, 'username': None, 'name': 'dwm.exe', 'vms': 177.12890625}
{'pid': 1764, 'username': None, 'name': 'svchost.exe', 'vms': 13.67578125}
{'pid': 1796, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 1.6640625}
{'pid': 1800, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 2.015625}
{'pid': 1872, 'username': None, 'name': 'WUDFHost.exe', 'vms': 5.49609375}
{'pid': 1900, 'username': 'BHAVESH\\ahire', 'name': 'HP.myHP.exe', 'vms': 53.171875}
{'pid': 1944, 'username': None, 'name': 'svchost.exe', 'vms': 10.046875}
{'pid': 1960, 'username': 'BHAVESH\\ahire', 'name': 'powershell.exe', 'vms': 70.8671875}
{'pid': 1996, 'username': None, 'name': 'svchost.exe', 'vms': 3.13671875}
{'pid': 2076, 'username': None, 'name': 'WUDFHost.exe', 'vms': 8.77734375}
{'pid': 2148, 'username': 'BHAVESH\\ahire', 'name': 'ms-teams.exe', 'vms': 24.015625}
{'pid': 2168, 'username': None, 'name': 'svchost.exe', 'vms': 1.26953125}
{'pid': 2176, 'username': None, 'name': 'svchost.exe', 'vms': 1.83203125}
{'pid': 2200, 'username': None, 'name': 'svchost.exe', 'vms': 2.34765625}
